runId,success,abort_reason,network_mode,direction,amount_xrp,total_runs,xrpl_endpoint,evm_endpoint,xrpl_gateway,evm_gateway,evm_contract,t0_prepare,t1_submit,t2_observe,preparation_time_ms,total_latency_ms,source_tx_hash,target_tx_hash,bridge_message_id,source_fee,target_fee,bridge_fee,total_cost
testnet_evm_to_xrpl_1759078033096,true,,testnet,evm_to_xrpl,2,1,wss://s.altnet.rippletest.net:51233,https://rpc.testnet.xrplevm.org,rNrjh1KGZk2jBR3wPfAQnoidtFFYQKbQn2,B5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,9bEb991eDdF92528E6342Ec5f7B0846C24cbaB58,1759078035081,1759078037211,1759078037211,2130,0,0x95317e9ac634a58eb63c0aef20064b96d75c7865380bff4d9c3328ee8b901712,C48D47F3006D969F3B3A96642DE781EECAE720EB0205614F491C6E98E002F701,,0.0619828,0.165,1.535,1.7619828
testnet_evm_to_xrpl_1759078494929,true,,testnet,evm_to_xrpl,2,1,wss://s.altnet.rippletest.net:51233,https://rpc.testnet.xrplevm.org,rNrjh1KGZk2jBR3wPfAQnoidtFFYQKbQn2,B5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,9bEb991eDdF92528E6342Ec5f7B0846C24cbaB58,1759078496293,1759078498482,1759078498482,2189,0,0x6469c74928aa4c49449570e9cea8e6c233dab3f6eba96ebdf5c6871b3f220159,281D46280C7DE900D46E928F5843BD3B2B53F47C76EC25CECD80B38B7E565EE0,,0.0619828,0.165,1.535,1.7619828
testnet_evm_to_xrpl_1759079808234,true,,testnet,evm_to_xrpl,2,1,wss://s.altnet.rippletest.net:51233,https://rpc.testnet.xrplevm.org,rNrjh1KGZk2jBR3wPfAQnoidtFFYQKbQn2,B5FB4BE02232B1bBA4dC8f81dc24C26980dE9e3C,9bEb991eDdF92528E6342Ec5f7B0846C24cbaB58,1759079809339,1759079811432,1759079811432,2093,0,0x0333e23d2e2b4226d5df830a00ba281ca19c30afbf7648680d4c32f377d00e40,49D756CCDB71C3E2AC8FD079661C286DF7BF1534ED561FDD22772FBCDA749B24,,0.0619828,0.165,1.535,1.7619828
